kelas,NIM,nama,nilai
A,1234567890,John Doe,90
A,1234567891,Jane Smith,85
A,1234567892,Bob Johnson,75
A,1234567893,Alice Lee,95
A,1234567894,Tom Wilson,80
A,1234567895,Sarah Lee,70
A,1234567896,Michael Brown,88
A,1234567897,Emily Davis,92
A,1234567898,David Jones,83
A,1234567899,Mary Kim,76
B,2234567890,Kevin Lee,82
B,2234567891,Michelle Lee,88
B,2234567892,Andrew Lee,95
B,2234567893,Jessica Chen,90
B,2234567894,Mark Kim,78
B,2234567895,Christine Lee,83
B,2234567896,Steven Park,76
B,2234567897,Julie Kim,85
B,2234567898,Daniel Lee,93
B,2234567899,Maggie Cho,80
C,3234567890,William Kim,87
C,3234567891,Elizabeth Lee,93
C,3234567892,Justin Park,75
C,3234567893,Lisa Kim,80
C,3234567894,Kyle Lee,91
C,3234567895,Hannah Cho,86
C,3234567896,Andrew Kim,84
C,3234567897,Grace Lee,90
C,3234567898,Alex Park,78
C,3234567899,Jenny Kim,92
